"","everwrk","age_p","r_maritl"
"654","1 Yes",26,"1 Married - spouse in household"
"655","1 Yes",36,"1 Married - spouse in household"
"656","2 No",35,"1 Married - spouse in household"
"657","1 Yes",46,"1 Married - spouse in household"
"658","1 Yes",61,"1 Married - spouse in household"
"659","1 Yes",41,"7 Never married"
"660","1 Yes",67,"7 Never married"
"661","1 Yes",51,"1 Married - spouse in household"
"662","1 Yes",18,"7 Never married"
"663","1 Yes",55,"4 Widowed"
"664","1 Yes",60,"4 Widowed"
"665","1 Yes",28,"1 Married - spouse in household"
"666","1 Yes",46,"1 Married - spouse in household"
"667","2 No",51,"1 Married - spouse in household"
"668","2 No",50,"7 Never married"
"669","1 Yes",36,"5 Divorced"
"670","1 Yes",33,"6 Separated"
"671","1 Yes",37,"1 Married - spouse in household"
"672","1 Yes",84,"1 Married - spouse in household"
"673","1 Yes",71,"1 Married - spouse in household"
"674","1 Yes",51,"6 Separated"
"675","1 Yes",57,"1 Married - spouse in household"
"676","1 Yes",28,"1 Married - spouse in household"
"677","1 Yes",37,"1 Married - spouse in household"
"678","2 No",28,"1 Married - spouse in household"
"679","1 Yes",58,"6 Separated"
"680","1 Yes",63,"7 Never married"
"681","2 No",54,"7 Never married"
"682","1 Yes",74,"1 Married - spouse in household"
"683","2 No",25,"7 Never married"
"684","1 Yes",48,"7 Never married"
"685","2 No",45,"1 Married - spouse in household"
"686","1 Yes",28,"7 Never married"
"687","1 Yes",24,"7 Never married"
"688","2 No",39,"6 Separated"
"689","1 Yes",23,"7 Never married"
"690","2 No",55,"1 Married - spouse in household"
"691","1 Yes",40,"1 Married - spouse in household"
"692","1 Yes",20,"7 Never married"
"693","1 Yes",63,"1 Married - spouse in household"
"694","1 Yes",29,"7 Never married"
"695","1 Yes",24,"7 Never married"
"696","1 Yes",52,"1 Married - spouse in household"
"697","2 No",67,"1 Married - spouse in household"
"698","1 Yes",57,"1 Married - spouse in household"
"699","1 Yes",59,"4 Widowed"
"700","1 Yes",29,"7 Never married"
"701","7 Refused",37,"1 Married - spouse in household"
"702","1 Yes",72,"2 Married - spouse not in household"
"703","2 No",34,"1 Married - spouse in household"
"704","1 Yes",67,"5 Divorced"
"705","1 Yes",21,"7 Never married"
"706","1 Yes",67,"1 Married - spouse in household"
"707","1 Yes",19,"7 Never married"
"708","1 Yes",32,"7 Never married"
"709","1 Yes",24,"1 Married - spouse in household"
"710","2 No",30,"8 Living with partner"
"711","1 Yes",21,"8 Living with partner"
"712","1 Yes",66,"1 Married - spouse in household"
"713","1 Yes",51,"2 Married - spouse not in household"
"714","1 Yes",30,"1 Married - spouse in household"
"715","1 Yes",57,"7 Never married"
"716","1 Yes",47,"5 Divorced"
"717","1 Yes",62,"5 Divorced"
"718","1 Yes",61,"1 Married - spouse in household"
"719","1 Yes",51,"1 Married - spouse in household"
"720","1 Yes",55,"6 Separated"
"721","2 No",85,"4 Widowed"
"722","1 Yes",63,"1 Married - spouse in household"
"723","1 Yes",40,"7 Never married"
"724","2 No",40,"2 Married - spouse not in household"
"725","1 Yes",54,"1 Married - spouse in household"
"726","1 Yes",61,"5 Divorced"
"727","1 Yes",38,"5 Divorced"
"728","2 No",29,"1 Married - spouse in household"
"729","2 No",77,"4 Widowed"
"730","1 Yes",49,"1 Married - spouse in household"
"731","1 Yes",35,"7 Never married"
"732","2 No",30,"8 Living with partner"
"733","1 Yes",64,"1 Married - spouse in household"
"734","1 Yes",52,"7 Never married"
"735","1 Yes",76,"4 Widowed"
"736","1 Yes",62,"1 Married - spouse in household"
"737","1 Yes",41,"8 Living with partner"
"738","1 Yes",41,"7 Never married"
"739","1 Yes",29,"7 Never married"
"740","1 Yes",76,"5 Divorced"
"741","1 Yes",27,"7 Never married"
"742","1 Yes",66,"1 Married - spouse in household"
"743","1 Yes",62,"1 Married - spouse in household"
"744","1 Yes",34,"1 Married - spouse in household"
"745","1 Yes",83,"1 Married - spouse in household"
"746","1 Yes",50,"1 Married - spouse in household"
"747","1 Yes",26,"7 Never married"
"748","1 Yes",47,"5 Divorced"
"749","2 No",24,"7 Never married"
"750","1 Yes",61,"5 Divorced"
"751","1 Yes",30,"7 Never married"
"752","1 Yes",42,"1 Married - spouse in household"
"753","1 Yes",31,"7 Never married"
"754","1 Yes",43,"7 Never married"
"755","1 Yes",48,"5 Divorced"
"756","1 Yes",43,"1 Married - spouse in household"
"757","1 Yes",27,"8 Living with partner"
"758","1 Yes",28,"7 Never married"
"759","1 Yes",85,"4 Widowed"
"760","1 Yes",36,"1 Married - spouse in household"
"761","1 Yes",82,"1 Married - spouse in household"
"762","1 Yes",41,"8 Living with partner"
"763","1 Yes",77,"5 Divorced"
"764","2 No",41,"5 Divorced"
"765","2 No",63,"1 Married - spouse in household"
"766","1 Yes",38,"1 Married - spouse in household"
"767","2 No",56,"8 Living with partner"
"768","1 Yes",62,"1 Married - spouse in household"
"769","1 Yes",26,"2 Married - spouse not in household"
"770","1 Yes",34,"1 Married - spouse in household"
"771","1 Yes",84,"4 Widowed"
"772","1 Yes",29,"1 Married - spouse in household"
"773","1 Yes",44,"7 Never married"
"774","1 Yes",69,"5 Divorced"
"775","1 Yes",24,"7 Never married"
"776","1 Yes",72,"1 Married - spouse in household"
"777","2 No",27,"7 Never married"
"778","1 Yes",59,"8 Living with partner"
"779","2 No",36,"1 Married - spouse in household"
"780","1 Yes",53,"5 Divorced"
"781","1 Yes",64,"1 Married - spouse in household"
"782","1 Yes",30,"1 Married - spouse in household"
"783","1 Yes",42,"1 Married - spouse in household"
"784","1 Yes",56,"7 Never married"
"785","1 Yes",27,"1 Married - spouse in household"
"786","1 Yes",50,"1 Married - spouse in household"
"787","1 Yes",63,"5 Divorced"
"788","1 Yes",76,"1 Married - spouse in household"
"789","1 Yes",47,"5 Divorced"
"790","1 Yes",22,"7 Never married"
"791","1 Yes",34,"8 Living with partner"
"792","1 Yes",60,"5 Divorced"
"793","1 Yes",41,"5 Divorced"
"794","1 Yes",42,"1 Married - spouse in household"
"795","1 Yes",45,"1 Married - spouse in household"
"796","1 Yes",25,"9 Unknown marital status"
"797","2 No",29,"7 Never married"
"798","1 Yes",62,"1 Married - spouse in household"
"799","1 Yes",84,"1 Married - spouse in household"
"800","1 Yes",34,"1 Married - spouse in household"
"801","1 Yes",34,"1 Married - spouse in household"
"802","1 Yes",50,"5 Divorced"
"803","1 Yes",53,"1 Married - spouse in household"
"804","1 Yes",42,"8 Living with partner"
"805","1 Yes",77,"1 Married - spouse in household"
"806","1 Yes",62,"1 Married - spouse in household"
"807","7 Refused",32,"7 Never married"
"808","1 Yes",40,"4 Widowed"
"809","1 Yes",54,"6 Separated"
"810","1 Yes",23,"7 Never married"
"811","1 Yes",59,"1 Married - spouse in household"
"812","2 No",50,"7 Never married"
"813","1 Yes",71,"1 Married - spouse in household"
"814","1 Yes",32,"8 Living with partner"
"815","1 Yes",40,"1 Married - spouse in household"
"816","1 Yes",61,"7 Never married"
"817","1 Yes",50,"7 Never married"
"818","1 Yes",69,"5 Divorced"
"819","1 Yes",46,"6 Separated"
"820","1 Yes",63,"1 Married - spouse in household"
"821","1 Yes",75,"1 Married - spouse in household"
"822","1 Yes",34,"6 Separated"
"823","2 No",19,"7 Never married"
"824","2 No",38,"7 Never married"
"825","1 Yes",48,"1 Married - spouse in household"
"826","1 Yes",70,"1 Married - spouse in household"
"827","2 No",18,"7 Never married"
"828","1 Yes",40,"6 Separated"
"829","1 Yes",42,"1 Married - spouse in household"
"830","1 Yes",66,"1 Married - spouse in household"
"831","1 Yes",80,"1 Married - spouse in household"
"832","1 Yes",85,"5 Divorced"
"833","1 Yes",31,"7 Never married"
"834","1 Yes",18,"7 Never married"
"835","1 Yes",60,"7 Never married"
"836","1 Yes",34,"7 Never married"
"837","1 Yes",37,"7 Never married"
"838","1 Yes",75,"4 Widowed"
"839","1 Yes",41,"1 Married - spouse in household"
"840","1 Yes",25,"7 Never married"
"841","1 Yes",72,"1 Married - spouse in household"
"842","2 No",32,"1 Married - spouse in household"
"843","1 Yes",85,"4 Widowed"
"844","1 Yes",38,"8 Living with partner"
"845","1 Yes",50,"6 Separated"
"846","1 Yes",42,"5 Divorced"
"847","1 Yes",38,"6 Separated"
"848","1 Yes",53,"4 Widowed"
"849","1 Yes",77,"5 Divorced"
"850","1 Yes",21,"7 Never married"
"851","1 Yes",59,"1 Married - spouse in household"
"852","2 No",38,"7 Never married"
"853","1 Yes",52,"1 Married - spouse in household"
"854","1 Yes",34,"1 Married - spouse in household"
"855","2 No",74,"4 Widowed"
"856","1 Yes",43,"7 Never married"
"857","1 Yes",58,"9 Unknown marital status"
"858","1 Yes",48,"1 Married - spouse in household"
"859","1 Yes",63,"1 Married - spouse in household"
"860","2 No",82,"1 Married - spouse in household"
"861","2 No",21,"8 Living with partner"
"862","1 Yes",26,"7 Never married"
"863","1 Yes",72,"1 Married - spouse in household"
"864","1 Yes",70,"4 Widowed"
"865","2 No",46,"1 Married - spouse in household"
"866","1 Yes",44,"1 Married - spouse in household"
"867","1 Yes",71,"1 Married - spouse in household"
"868","1 Yes",30,"7 Never married"
"869","1 Yes",52,"7 Never married"
"870","1 Yes",56,"5 Divorced"
"871","1 Yes",45,"1 Married - spouse in household"
"872","1 Yes",51,"1 Married - spouse in household"
"873","1 Yes",55,"1 Married - spouse in household"
"874","1 Yes",74,"7 Never married"
"875","1 Yes",48,"1 Married - spouse in household"
"876","1 Yes",30,"1 Married - spouse in household"
"877","1 Yes",61,"4 Widowed"
"878","1 Yes",36,"7 Never married"
"879","2 No",29,"1 Married - spouse in household"
"880","1 Yes",43,"8 Living with partner"
"881","1 Yes",56,"1 Married - spouse in household"
"882","1 Yes",82,"1 Married - spouse in household"
"883","1 Yes",55,"1 Married - spouse in household"
"884","1 Yes",41,"5 Divorced"
"885","1 Yes",34,"1 Married - spouse in household"
"886","1 Yes",47,"2 Married - spouse not in household"
"887","2 No",18,"7 Never married"
"888","1 Yes",60,"1 Married - spouse in household"
"889","1 Yes",30,"1 Married - spouse in household"
"890","1 Yes",31,"8 Living with partner"
"891","1 Yes",30,"1 Married - spouse in household"
"892","1 Yes",73,"4 Widowed"
"893","1 Yes",40,"7 Never married"
"894","1 Yes",27,"2 Married - spouse not in household"
"895","1 Yes",26,"7 Never married"
"896","1 Yes",25,"7 Never married"
"897","1 Yes",85,"4 Widowed"
"898","1 Yes",66,"5 Divorced"
"899","1 Yes",21,"7 Never married"
"900","1 Yes",22,"7 Never married"
"901","1 Yes",24,"7 Never married"
"902","1 Yes",58,"7 Never married"
"903","1 Yes",45,"6 Separated"
"904","1 Yes",54,"5 Divorced"
"905","1 Yes",54,"2 Married - spouse not in household"
"906","2 No",81,"4 Widowed"
"907","1 Yes",61,"7 Never married"
"908","1 Yes",56,"1 Married - spouse in household"
"909","1 Yes",19,"7 Never married"
"910","1 Yes",41,"8 Living with partner"
"911","1 Yes",69,"1 Married - spouse in household"
"912","1 Yes",70,"4 Widowed"
"913","1 Yes",52,"7 Never married"
"914","1 Yes",39,"1 Married - spouse in household"
"915","7 Refused",75,"5 Divorced"
"916","1 Yes",64,"5 Divorced"
"917","1 Yes",59,"6 Separated"
"918","1 Yes",56,"1 Married - spouse in household"
"919","2 No",68,"1 Married - spouse in household"
"920","1 Yes",82,"7 Never married"
"921","2 No",85,"4 Widowed"
"922","1 Yes",63,"1 Married - spouse in household"
"923","1 Yes",32,"8 Living with partner"
"924","1 Yes",22,"8 Living with partner"
"925","1 Yes",70,"1 Married - spouse in household"
"926","1 Yes",30,"5 Divorced"
"927","1 Yes",56,"1 Married - spouse in household"
"928","2 No",39,"1 Married - spouse in household"
"929","1 Yes",60,"1 Married - spouse in household"
"930","1 Yes",60,"1 Married - spouse in household"
"931","1 Yes",54,"1 Married - spouse in household"
"932","1 Yes",31,"1 Married - spouse in household"
"933","1 Yes",51,"5 Divorced"
"934","1 Yes",32,"1 Married - spouse in household"
"935","1 Yes",23,"6 Separated"
"936","2 No",31,"1 Married - spouse in household"
"937","1 Yes",22,"7 Never married"
"938","2 No",28,"7 Never married"
"939","1 Yes",29,"1 Married - spouse in household"
"940","1 Yes",60,"1 Married - spouse in household"
"941","1 Yes",23,"7 Never married"
"942","2 No",28,"7 Never married"
"943","1 Yes",38,"7 Never married"
"944","1 Yes",66,"7 Never married"
"945","1 Yes",47,"1 Married - spouse in household"
"946","2 No",35,"5 Divorced"
"947","2 No",18,"7 Never married"
"948","1 Yes",50,"1 Married - spouse in household"
"949","1 Yes",23,"8 Living with partner"
"950","1 Yes",40,"1 Married - spouse in household"
"951","1 Yes",21,"7 Never married"
"952","1 Yes",55,"1 Married - spouse in household"
"953","1 Yes",36,"1 Married - spouse in household"
"954","1 Yes",71,"1 Married - spouse in household"
"955","1 Yes",41,"6 Separated"
"956","1 Yes",35,"1 Married - spouse in household"
"957","2 No",67,"4 Widowed"
"958","1 Yes",66,"4 Widowed"
"959","1 Yes",53,"7 Never married"
"960","1 Yes",65,"1 Married - spouse in household"
"961","1 Yes",45,"5 Divorced"
"962","1 Yes",22,"7 Never married"
"963","1 Yes",47,"7 Never married"
"964","1 Yes",68,"1 Married - spouse in household"
"965","1 Yes",28,"1 Married - spouse in household"
"966","1 Yes",77,"4 Widowed"
"967","1 Yes",61,"1 Married - spouse in household"
"968","1 Yes",26,"1 Married - spouse in household"
"969","1 Yes",53,"5 Divorced"
"970","1 Yes",38,"7 Never married"
"971","1 Yes",24,"7 Never married"
"972","1 Yes",37,"1 Married - spouse in household"
"973","1 Yes",64,"1 Married - spouse in household"
"974","1 Yes",50,"1 Married - spouse in household"
"975","2 No",72,"4 Widowed"
"976","1 Yes",63,"5 Divorced"
"977","2 No",24,"8 Living with partner"
"978","1 Yes",51,"1 Married - spouse in household"
"979","1 Yes",23,"7 Never married"
"980","1 Yes",29,"8 Living with partner"
"981","1 Yes",36,"1 Married - spouse in household"
"982","2 No",26,"7 Never married"
"983","1 Yes",39,"1 Married - spouse in household"
"984","1 Yes",42,"1 Married - spouse in household"
"985","1 Yes",40,"1 Married - spouse in household"
"986","2 No",41,"1 Married - spouse in household"
"987","1 Yes",39,"8 Living with partner"
"988","1 Yes",54,"8 Living with partner"
"989","2 No",38,"2 Married - spouse not in household"
"990","1 Yes",39,"7 Never married"
"991","2 No",57,"8 Living with partner"
"992","1 Yes",27,"7 Never married"
"993","1 Yes",37,"1 Married - spouse in household"
"994","1 Yes",72,"1 Married - spouse in household"
"995","1 Yes",58,"5 Divorced"
"996","1 Yes",38,"2 Married - spouse not in household"
"997","1 Yes",31,"5 Divorced"
"998","1 Yes",56,"4 Widowed"
"999","1 Yes",20,"7 Never married"
"1000","1 Yes",60,"1 Married - spouse in household"
"1001","1 Yes",27,"1 Married - spouse in household"
"1002","2 No",19,"7 Never married"
"1003","2 No",29,"5 Divorced"
"1004","1 Yes",63,"1 Married - spouse in household"
"1005","1 Yes",47,"1 Married - spouse in household"
"1006","2 No",43,"1 Married - spouse in household"
"1007","1 Yes",25,"1 Married - spouse in household"
"1008","1 Yes",36,"1 Married - spouse in household"
"1009","1 Yes",31,"7 Never married"
"1010","1 Yes",48,"7 Never married"
"1011","1 Yes",52,"6 Separated"
"1012","1 Yes",53,"8 Living with partner"
"1013","1 Yes",70,"5 Divorced"
"1014","1 Yes",74,"5 Divorced"
"1015","1 Yes",48,"1 Married - spouse in household"
"1016","1 Yes",51,"5 Divorced"
"1017","1 Yes",76,"1 Married - spouse in household"
"1018","1 Yes",63,"1 Married - spouse in household"
"1019","1 Yes",25,"8 Living with partner"
"1020","2 No",73,"1 Married - spouse in household"
"1021","1 Yes",74,"4 Widowed"
"1022","1 Yes",46,"5 Divorced"
"1023","1 Yes",35,"1 Married - spouse in household"
"1024","1 Yes",62,"4 Widowed"
"1025","1 Yes",44,"5 Divorced"
"1026","1 Yes",66,"1 Married - spouse in household"
"1027","2 No",73,"1 Married - spouse in household"
"1028","1 Yes",55,"1 Married - spouse in household"
"1029","1 Yes",55,"8 Living with partner"
"1030","2 No",26,"1 Married - spouse in household"
"1031","1 Yes",40,"5 Divorced"
"1032","1 Yes",78,"1 Married - spouse in household"
"1033","1 Yes",63,"5 Divorced"
"1034","1 Yes",61,"1 Married - spouse in household"
"1035","1 Yes",47,"5 Divorced"
"1036","1 Yes",61,"5 Divorced"
"1037","1 Yes",37,"1 Married - spouse in household"
"1038","1 Yes",35,"7 Never married"
"1039","1 Yes",66,"5 Divorced"
"1040","1 Yes",55,"1 Married - spouse in household"
"1041","1 Yes",83,"1 Married - spouse in household"
"1042","1 Yes",64,"7 Never married"
"1043","1 Yes",65,"1 Married - spouse in household"
"1044","1 Yes",26,"7 Never married"
"1045","1 Yes",34,"7 Never married"
"1046","1 Yes",38,"6 Separated"
"1047","1 Yes",31,"8 Living with partner"
"1048","1 Yes",39,"1 Married - spouse in household"
"1049","2 No",49,"1 Married - spouse in household"
"1050","2 No",54,"4 Widowed"
"1051","2 No",36,"8 Living with partner"
"1052","1 Yes",51,"1 Married - spouse in household"
"1053","1 Yes",53,"8 Living with partner"
"1054","2 No",23,"7 Never married"
"1055","1 Yes",53,"5 Divorced"
"1056","2 No",21,"1 Married - spouse in household"
"1057","2 No",28,"7 Never married"
"1058","1 Yes",30,"7 Never married"
"1059","1 Yes",23,"7 Never married"
"1060","1 Yes",30,"1 Married - spouse in household"
"1061","1 Yes",48,"5 Divorced"
"1062","1 Yes",28,"7 Never married"
"1063","2 No",56,"4 Widowed"
"1064","1 Yes",22,"8 Living with partner"
"1065","1 Yes",40,"1 Married - spouse in household"
